property_name,display_name,is_network,parent_network,segments,report_month,month_label,year,month_num,quarter,quarter_label,financial_year,unique_users,prev_month_uu,prev_quarter_uu,prev_year_uu,mom_pct,mom_abs,qoq_pct,qoq_abs,yoy_pct,yoy_abs,rank_in_segment,data_source
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-04-01,Apr'21,2021,4,2,2021-Q2,FY2021-2022,62.74537,,,,,,,,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-05-01,May'21,2021,5,2,2021-Q2,FY2021-2022,79.01,62.74537,,,25.92,16.265,,,,,5,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-06-01,Jun'21,2021,6,2,2021-Q2,FY2021-2022,71.79,79.01,,,-9.14,-7.22,,,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-07-01,Jul'21,2021,7,3,2021-Q3,FY2021-2022,82.28,71.79,62.74537,,14.61,10.49,31.13,19.535,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-09-01,Sep'21,2021,9,3,2021-Q3,FY2021-2022,90.89,,71.79,,,,26.61,19.1,,,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-10-01,Oct'21,2021,10,4,2021-Q4,FY2021-2022,93.63,90.89,82.28,,3.01,2.74,13.79,11.35,,,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-11-01,Nov'21,2021,11,4,2021-Q4,FY2021-2022,95.92,93.63,,,2.45,2.29,,,,,1,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2021-12-01,Dec'21,2021,12,4,2021-Q4,FY2021-2022,75.76,95.92,90.89,,-21.02,-20.16,-16.65,-15.13,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-01-01,Jan'22,2022,1,1,2022-Q1,FY2021-2022,73.915,75.76,93.63,,-2.44,-1.845,-21.06,-19.715,,,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-02-01,Feb'22,2022,2,1,2022-Q1,FY2021-2022,69.572,73.915,95.92,,-5.88,-4.343,-27.47,-26.348,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-03-01,Mar'22,2022,3,1,2022-Q1,FY2021-2022,72.162,69.572,75.76,,3.72,2.59,-4.75,-3.598,,,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-04-01,Apr'22,2022,4,2,2022-Q2,FY2022-2023,65.943,72.162,73.915,62.74537,-8.62,-6.219,-10.79,-7.972,5.1,3.198,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-05-01,May'22,2022,5,2,2022-Q2,FY2022-2023,66.545,65.943,69.572,79.01,0.91,0.602,-4.35,-3.027,-15.78,-12.465,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-06-01,Jun'22,2022,6,2,2022-Q2,FY2022-2023,76.452,66.545,72.162,71.79,14.89,9.907,5.94,4.29,6.49,4.662,1,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-07-01,Jul'22,2022,7,3,2022-Q3,FY2022-2023,72.885,76.452,65.943,82.28,-4.67,-3.567,10.53,6.942,-11.42,-9.395,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-08-01,Aug'22,2022,8,3,2022-Q3,FY2022-2023,76.198,72.885,66.545,,4.55,3.313,14.51,9.653,,,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-09-01,Sep'22,2022,9,3,2022-Q3,FY2022-2023,70.693,76.198,76.452,90.89,-7.22,-5.505,-7.53,-5.759,-22.22,-20.197,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-10-01,Oct'22,2022,10,4,2022-Q4,FY2022-2023,69.151,70.693,72.885,93.63,-2.18,-1.542,-5.12,-3.734,-26.14,-24.479,2,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-11-01,Nov'22,2022,11,4,2022-Q4,FY2022-2023,56.817,69.151,76.198,95.92,-17.84,-12.334,-25.44,-19.381,-40.77,-39.103,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2022-12-01,Dec'22,2022,12,4,2022-Q4,FY2022-2023,60.409,56.817,70.693,75.76,6.32,3.592,-14.55,-10.284,-20.26,-15.351,3,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2023-01-01,Jan'23,2023,1,1,2023-Q1,FY2022-2023,66.438,60.409,69.151,73.915,9.98,6.029,-3.92,-2.713,-10.12,-7.477,1,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2023-02-01,Feb'23,2023,2,1,2023-Q1,FY2022-2023,69.152,66.438,56.817,69.572,4.09,2.714,21.71,12.335,-0.6,-0.42,1,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2023-03-01,Mar'23,2023,3,1,2023-Q1,FY2022-2023,68.645,69.152,60.409,72.162,-0.73,-0.507,13.63,8.236,-4.87,-3.517,1,excel_previous
Aaj Tak,Aaj Tak,False,India Today Group,Hindi,2023-04-01,Apr'23,2023,4,2,2023-Q2,FY2023-2024,66.213,68.645,66.438,65.943,-3.54,-2.432,-0.34,-0.225,0.41,0.27,1,excel_previous
